AppDynamics PHP Agent 4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe PHP-5.6.37-1+ubuntu14.04.1+deb.sury.org+1 681
2019-12-24 12:02:54.147 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -1123293971645836793
2019-12-24 12:02:54.325 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: 922922567576947021
2019-12-24 12:02:54.518 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: 5904290930823079045
2019-12-24 12:02:54.697 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: -4318630350497913026
2019-12-24 12:02:54.886 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 3, error: 0, snapshot: 0, requestID: 4265867778335118763
2019-12-24 12:02:55.085 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: -3695758796671777291
2019-12-24 12:02:55.263 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: 533559270278096612
2019-12-24 12:02:55.447 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -6867415600426967297
2019-12-24 12:02:55.645 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 3, error: 0, snapshot: 0, requestID: 1263498850536013110
2019-12-24 12:02:55.850 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: 4402902781010238235
2019-12-24 12:02:56.035 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -3702975169824415668
2019-12-24 12:02:56.218 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: -1230699604197776426
2019-12-24 12:02:56.418 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 1, error: 0, snapshot: 0, requestID: 1630088939995769620
2019-12-24 12:02:56.612 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 0, error: 0, snapshot: 0, requestID: 6951638341555807414
2019-12-24 12:02:56.840 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 3, error: 0, snapshot: 0, requestID: 5732983216321831903
2019-12-24 12:02:57.031 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[1528029], time: 2, error: 0, snapshot: 0, requestID: -854056786532010096
